Date,Units_Sold
2024-06-01,164.0
2024-06-02,227.5
2024-06-03,250.33333333333334
2024-06-04,264.75
2024-06-05,271.0
2024-06-06,269.0
2024-06-07,260.2857142857143
2024-06-08,288.14285714285717
2024-06-09,279.85714285714283
2024-06-10,281.85714285714283
2024-06-11,277.2857142857143
2024-06-12,270.7142857142857
2024-06-13,273.2857142857143
2024-06-14,280.57142857142856
2024-06-15,273.14285714285717
2024-06-16,276.0
2024-06-17,282.7142857142857
2024-06-18,282.42857142857144
2024-06-19,293.7142857142857
2024-06-20,298.85714285714283
2024-06-21,299.85714285714283
2024-06-22,302.2857142857143
2024-06-23,302.85714285714283
2024-06-24,295.57142857142856
2024-06-25,295.0
2024-06-26,287.85714285714283
2024-06-27,278.2857142857143
2024-06-28,281.42857142857144
2024-06-29,292.85714285714283
2024-06-30,301.85714285714283
2024-07-01,301.7142857142857
2024-07-02,305.0
2024-07-03,296.2857142857143
2024-07-04,295.57142857142856
2024-07-05,292.0
2024-07-06,272.7142857142857
2024-07-07,260.85714285714283
2024-07-08,255.85714285714286
2024-07-09,263.14285714285717
2024-07-10,271.0
2024-07-11,272.0
2024-07-12,281.14285714285717
2024-07-13,295.14285714285717
2024-07-14,290.14285714285717
2024-07-15,281.14285714285717
2024-07-16,276.7142857142857
2024-07-17,282.57142857142856
2024-07-18,281.42857142857144
2024-07-19,271.42857142857144
2024-07-20,267.2857142857143
2024-07-21,280.0
2024-07-22,299.42857142857144
2024-07-23,280.14285714285717
2024-07-24,273.0
2024-07-25,299.0
2024-07-26,305.2857142857143
2024-07-27,305.42857142857144
2024-07-28,288.42857142857144
2024-07-29,288.7142857142857
2024-07-30,301.42857142857144
2024-07-31,307.2857142857143
2024-08-01,285.2857142857143
2024-08-02,258.7142857142857
2024-08-03,242.42857142857142
2024-08-04,257.14285714285717
2024-08-05,257.2857142857143
2024-08-06,261.2857142857143
2024-08-07,256.57142857142856
2024-08-08,269.7142857142857
2024-08-09,284.85714285714283
2024-08-10,288.42857142857144
2024-08-11,281.57142857142856
2024-08-12,277.42857142857144
2024-08-13,287.57142857142856
2024-08-14,291.57142857142856
2024-08-15,277.57142857142856
2024-08-16,290.57142857142856
2024-08-17,293.0
2024-08-18,310.7142857142857
2024-08-19,305.7142857142857
2024-08-20,301.14285714285717
2024-08-21,299.14285714285717
2024-08-22,291.57142857142856
2024-08-23,276.85714285714283
2024-08-24,289.57142857142856
2024-08-25,275.14285714285717
2024-08-26,272.14285714285717
2024-08-27,268.2857142857143
2024-08-28,259.7142857142857
2024-08-29,265.2857142857143
2024-08-30,281.7142857142857
2024-08-31,266.7142857142857
