Date,Units_Sold
2024-06-01,270.0
2024-06-02,230.0
2024-06-03,272.0
2024-06-04,248.25
2024-06-05,257.4
2024-06-06,269.6666666666667
2024-06-07,259.0
2024-06-08,260.42857142857144
2024-06-09,276.57142857142856
2024-06-10,265.42857142857144
2024-06-11,285.7142857142857
2024-06-12,286.2857142857143
2024-06-13,276.57142857142856
2024-06-14,279.7142857142857
2024-06-15,270.7142857142857
2024-06-16,270.7142857142857
2024-06-17,272.0
2024-06-18,259.42857142857144
2024-06-19,250.14285714285714
2024-06-20,266.0
2024-06-21,281.85714285714283
2024-06-22,285.2857142857143
2024-06-23,283.0
2024-06-24,284.57142857142856
2024-06-25,289.7142857142857
2024-06-26,293.42857142857144
2024-06-27,282.2857142857143
2024-06-28,279.14285714285717
2024-06-29,288.57142857142856
2024-06-30,279.85714285714283
2024-07-01,278.57142857142856
2024-07-02,272.85714285714283
2024-07-03,278.85714285714283
2024-07-04,271.85714285714283
2024-07-05,268.2857142857143
2024-07-06,268.0
2024-07-07,271.85714285714283
2024-07-08,281.14285714285717
2024-07-09,299.0
2024-07-10,297.2857142857143
2024-07-11,300.57142857142856
2024-07-12,299.2857142857143
2024-07-13,298.0
2024-07-14,286.85714285714283
2024-07-15,260.14285714285717
2024-07-16,247.28571428571428
2024-07-17,241.0
2024-07-18,238.42857142857142
2024-07-19,243.0
2024-07-20,231.0
2024-07-21,246.57142857142858
2024-07-22,265.42857142857144
2024-07-23,262.85714285714283
2024-07-24,273.57142857142856
2024-07-25,277.85714285714283
2024-07-26,272.85714285714283
2024-07-27,285.14285714285717
2024-07-28,291.85714285714283
2024-07-29,291.2857142857143
2024-07-30,292.7142857142857
2024-07-31,288.85714285714283
2024-08-01,298.85714285714283
2024-08-02,302.14285714285717
2024-08-03,301.2857142857143
2024-08-04,289.0
2024-08-05,295.42857142857144
2024-08-06,311.85714285714283
2024-08-07,321.57142857142856
2024-08-08,322.14285714285717
2024-08-09,336.0
2024-08-10,329.7142857142857
2024-08-11,348.2857142857143
2024-08-12,341.85714285714283
2024-08-13,328.7142857142857
2024-08-14,321.2857142857143
2024-08-15,316.85714285714283
2024-08-16,307.57142857142856
2024-08-17,306.0
2024-08-18,310.7142857142857
2024-08-19,323.0
2024-08-20,331.42857142857144
2024-08-21,336.57142857142856
2024-08-22,330.2857142857143
2024-08-23,328.42857142857144
2024-08-24,335.14285714285717
2024-08-25,326.2857142857143
2024-08-26,312.42857142857144
2024-08-27,319.2857142857143
2024-08-28,312.85714285714283
2024-08-29,325.14285714285717
2024-08-30,322.7142857142857
2024-08-31,325.42857142857144
