Date,Units_Sold
2024-06-01,299.0
2024-06-02,289.0
2024-06-03,292.0
2024-06-04,286.25
2024-06-05,296.2
2024-06-06,298.8333333333333
2024-06-07,288.0
2024-06-08,287.85714285714283
2024-06-09,285.14285714285717
2024-06-10,279.14285714285717
2024-06-11,278.2857142857143
2024-06-12,253.28571428571428
2024-06-13,247.14285714285714
2024-06-14,255.57142857142858
2024-06-15,248.71428571428572
2024-06-16,254.42857142857142
2024-06-17,246.14285714285714
2024-06-18,243.71428571428572
2024-06-19,262.85714285714283
2024-06-20,255.57142857142858
2024-06-21,267.14285714285717
2024-06-22,257.57142857142856
2024-06-23,252.42857142857142
2024-06-24,254.71428571428572
2024-06-25,264.2857142857143
2024-06-26,269.85714285714283
2024-06-27,282.85714285714283
2024-06-28,269.14285714285717
2024-06-29,277.0
2024-06-30,277.7142857142857
2024-07-01,284.42857142857144
2024-07-02,276.0
2024-07-03,259.85714285714283
2024-07-04,251.85714285714286
2024-07-05,256.14285714285717
2024-07-06,275.0
2024-07-07,280.0
2024-07-08,263.57142857142856
2024-07-09,269.14285714285717
2024-07-10,281.85714285714283
2024-07-11,278.0
2024-07-12,276.7142857142857
2024-07-13,270.85714285714283
2024-07-14,252.28571428571428
2024-07-15,270.42857142857144
2024-07-16,260.42857142857144
2024-07-17,258.57142857142856
2024-07-18,254.71428571428572
2024-07-19,241.14285714285714
2024-07-20,242.42857142857142
2024-07-21,260.57142857142856
2024-07-22,259.0
2024-07-23,270.14285714285717
2024-07-24,248.57142857142858
2024-07-25,259.85714285714283
2024-07-26,268.57142857142856
2024-07-27,249.71428571428572
2024-07-28,235.71428571428572
2024-07-29,241.14285714285714
2024-07-30,231.85714285714286
2024-07-31,251.14285714285714
2024-08-01,260.85714285714283
2024-08-02,264.2857142857143
2024-08-03,281.7142857142857
2024-08-04,289.2857142857143
2024-08-05,279.57142857142856
2024-08-06,287.14285714285717
2024-08-07,289.14285714285717
2024-08-08,286.85714285714283
2024-08-09,291.2857142857143
2024-08-10,285.42857142857144
2024-08-11,283.7142857142857
2024-08-12,290.0
2024-08-13,297.7142857142857
2024-08-14,286.0
2024-08-15,281.0
2024-08-16,266.42857142857144
2024-08-17,272.14285714285717
2024-08-18,279.85714285714283
2024-08-19,284.85714285714283
2024-08-20,284.42857142857144
2024-08-21,302.2857142857143
2024-08-22,298.85714285714283
2024-08-23,313.7142857142857
2024-08-24,300.0
2024-08-25,293.0
2024-08-26,292.14285714285717
2024-08-27,289.85714285714283
2024-08-28,266.0
2024-08-29,259.2857142857143
2024-08-30,247.28571428571428
2024-08-31,259.0
