Date,Units_Sold
2024-06-01,353.0
2024-06-02,353.0
2024-06-03,369.3333333333333
2024-06-04,358.25
2024-06-05,352.8
2024-06-06,350.3333333333333
2024-06-07,349.85714285714283
2024-06-08,361.14285714285717
2024-06-09,354.7142857142857
2024-06-10,344.14285714285717
2024-06-11,350.14285714285717
2024-06-12,363.0
2024-06-13,366.2857142857143
2024-06-14,368.2857142857143
2024-06-15,363.57142857142856
2024-06-16,367.57142857142856
2024-06-17,364.57142857142856
2024-06-18,365.85714285714283
2024-06-19,353.57142857142856
2024-06-20,340.7142857142857
2024-06-21,339.42857142857144
2024-06-22,323.14285714285717
2024-06-23,319.2857142857143
2024-06-24,320.85714285714283
2024-06-25,304.57142857142856
2024-06-26,307.14285714285717
2024-06-27,314.7142857142857
2024-06-28,310.57142857142856
2024-06-29,312.0
2024-06-30,313.57142857142856
2024-07-01,316.57142857142856
2024-07-02,317.14285714285717
2024-07-03,308.0
2024-07-04,310.2857142857143
2024-07-05,318.57142857142856
2024-07-06,320.42857142857144
2024-07-07,318.7142857142857
2024-07-08,315.0
2024-07-09,311.14285714285717
2024-07-10,321.0
2024-07-11,319.7142857142857
2024-07-12,325.7142857142857
2024-07-13,336.2857142857143
2024-07-14,334.57142857142856
2024-07-15,330.14285714285717
2024-07-16,342.57142857142856
2024-07-17,330.42857142857144
2024-07-18,323.57142857142856
2024-07-19,315.2857142857143
2024-07-20,300.0
2024-07-21,318.85714285714283
2024-07-22,340.2857142857143
2024-07-23,346.2857142857143
2024-07-24,374.0
2024-07-25,374.57142857142856
2024-07-26,368.42857142857144
2024-07-27,388.42857142857144
2024-07-28,371.7142857142857
2024-07-29,356.42857142857144
2024-07-30,349.7142857142857
2024-07-31,333.42857142857144
2024-08-01,334.0
2024-08-02,332.85714285714283
2024-08-03,306.0
2024-08-04,302.2857142857143
2024-08-05,297.2857142857143
2024-08-06,290.0
2024-08-07,282.2857142857143
2024-08-08,274.2857142857143
2024-08-09,268.14285714285717
2024-08-10,268.7142857142857
2024-08-11,273.42857142857144
2024-08-12,267.0
2024-08-13,270.14285714285717
2024-08-14,256.0
2024-08-15,261.2857142857143
2024-08-16,263.42857142857144
2024-08-17,276.42857142857144
2024-08-18,260.7142857142857
2024-08-19,272.57142857142856
2024-08-20,268.85714285714283
2024-08-21,285.42857142857144
2024-08-22,291.57142857142856
2024-08-23,288.85714285714283
2024-08-24,295.7142857142857
2024-08-25,299.85714285714283
2024-08-26,285.57142857142856
2024-08-27,293.0
2024-08-28,284.57142857142856
2024-08-29,275.85714285714283
2024-08-30,261.42857142857144
2024-08-31,252.28571428571428
