Date,Units_Sold
2024-06-01,329.0
2024-06-02,305.0
2024-06-03,293.6666666666667
2024-06-04,298.5
2024-06-05,282.6
2024-06-06,286.6666666666667
2024-06-07,291.2857142857143
2024-06-08,284.85714285714283
2024-06-09,291.0
2024-06-10,286.85714285714283
2024-06-11,280.57142857142856
2024-06-12,287.2857142857143
2024-06-13,281.85714285714283
2024-06-14,286.57142857142856
2024-06-15,284.57142857142856
2024-06-16,270.42857142857144
2024-06-17,267.14285714285717
2024-06-18,275.57142857142856
2024-06-19,280.0
2024-06-20,287.85714285714283
2024-06-21,271.7142857142857
2024-06-22,285.0
2024-06-23,293.85714285714283
2024-06-24,309.85714285714283
2024-06-25,291.57142857142856
2024-06-26,294.85714285714283
2024-06-27,290.42857142857144
2024-06-28,295.57142857142856
2024-06-29,279.0
2024-06-30,282.57142857142856
2024-07-01,266.85714285714283
2024-07-02,277.85714285714283
2024-07-03,273.2857142857143
2024-07-04,270.14285714285717
2024-07-05,269.85714285714283
2024-07-06,286.7142857142857
2024-07-07,279.42857142857144
2024-07-08,290.57142857142856
2024-07-09,282.2857142857143
2024-07-10,276.0
2024-07-11,277.2857142857143
2024-07-12,276.57142857142856
2024-07-13,258.14285714285717
2024-07-14,265.42857142857144
2024-07-15,280.2857142857143
2024-07-16,296.57142857142856
2024-07-17,295.7142857142857
2024-07-18,301.2857142857143
2024-07-19,311.57142857142856
2024-07-20,322.14285714285717
2024-07-21,329.7142857142857
2024-07-22,315.0
2024-07-23,308.14285714285717
2024-07-24,298.14285714285717
2024-07-25,299.85714285714283
2024-07-26,302.42857142857144
2024-07-27,304.42857142857144
2024-07-28,304.2857142857143
2024-07-29,309.85714285714283
2024-07-30,310.2857142857143
2024-07-31,337.0
2024-08-01,318.0
2024-08-02,307.7142857142857
2024-08-03,300.7142857142857
2024-08-04,283.0
2024-08-05,279.42857142857144
2024-08-06,291.2857142857143
2024-08-07,285.42857142857144
2024-08-08,306.0
2024-08-09,305.42857142857144
2024-08-10,319.2857142857143
2024-08-11,332.0
2024-08-12,319.7142857142857
2024-08-13,296.85714285714283
2024-08-14,288.42857142857144
2024-08-15,281.0
2024-08-16,282.7142857142857
2024-08-17,282.57142857142856
2024-08-18,276.42857142857144
2024-08-19,295.0
2024-08-20,299.42857142857144
2024-08-21,315.0
2024-08-22,298.85714285714283
2024-08-23,301.2857142857143
2024-08-24,290.42857142857144
2024-08-25,297.14285714285717
2024-08-26,291.42857142857144
2024-08-27,296.42857142857144
2024-08-28,290.0
2024-08-29,294.7142857142857
2024-08-30,278.2857142857143
2024-08-31,267.85714285714283
