Date,Units_Sold
2024-06-01,321.0
2024-06-02,335.5
2024-06-03,341.3333333333333
2024-06-04,335.25
2024-06-05,329.0
2024-06-06,341.3333333333333
2024-06-07,335.7142857142857
2024-06-08,331.2857142857143
2024-06-09,333.14285714285717
2024-06-10,326.57142857142856
2024-06-11,330.14285714285717
2024-06-12,347.14285714285717
2024-06-13,335.7142857142857
2024-06-14,334.7142857142857
2024-06-15,334.85714285714283
2024-06-16,324.42857142857144
2024-06-17,323.14285714285717
2024-06-18,320.2857142857143
2024-06-19,315.2857142857143
2024-06-20,324.14285714285717
2024-06-21,344.0
2024-06-22,357.0
2024-06-23,375.85714285714283
2024-06-24,390.2857142857143
2024-06-25,404.14285714285717
2024-06-26,397.2857142857143
2024-06-27,388.0
2024-06-28,378.57142857142856
2024-06-29,373.85714285714283
2024-06-30,361.0
2024-07-01,367.14285714285717
2024-07-02,338.85714285714283
2024-07-03,344.7142857142857
2024-07-04,350.0
2024-07-05,348.0
2024-07-06,353.0
2024-07-07,351.42857142857144
2024-07-08,339.42857142857144
2024-07-09,351.85714285714283
2024-07-10,355.42857142857144
2024-07-11,349.2857142857143
2024-07-12,345.14285714285717
2024-07-13,347.7142857142857
2024-07-14,340.2857142857143
2024-07-15,341.42857142857144
2024-07-16,347.57142857142856
2024-07-17,339.2857142857143
2024-07-18,329.57142857142856
2024-07-19,337.7142857142857
2024-07-20,339.57142857142856
2024-07-21,354.85714285714283
2024-07-22,354.7142857142857
2024-07-23,362.57142857142856
2024-07-24,366.14285714285717
2024-07-25,375.7142857142857
2024-07-26,369.85714285714283
2024-07-27,362.7142857142857
2024-07-28,355.14285714285717
2024-07-29,349.14285714285717
2024-07-30,333.0
2024-07-31,326.2857142857143
2024-08-01,328.42857142857144
2024-08-02,310.85714285714283
2024-08-03,292.42857142857144
2024-08-04,281.2857142857143
2024-08-05,270.85714285714283
2024-08-06,280.7142857142857
2024-08-07,271.85714285714283
2024-08-08,264.85714285714283
2024-08-09,269.2857142857143
2024-08-10,273.0
2024-08-11,279.42857142857144
2024-08-12,284.7142857142857
2024-08-13,269.57142857142856
2024-08-14,283.14285714285717
2024-08-15,291.7142857142857
2024-08-16,286.0
2024-08-17,293.0
2024-08-18,294.2857142857143
2024-08-19,289.7142857142857
2024-08-20,309.14285714285717
2024-08-21,301.2857142857143
2024-08-22,299.85714285714283
2024-08-23,296.2857142857143
2024-08-24,281.85714285714283
2024-08-25,275.14285714285717
2024-08-26,280.85714285714283
2024-08-27,262.85714285714283
2024-08-28,265.0
2024-08-29,243.85714285714286
2024-08-30,262.85714285714283
2024-08-31,266.2857142857143
